category,text
None-of-the-above,I accept that you are a lesbian.but the body language and the way you given answers to the question is like a rowdi.. Change your attitude it might help you in future..
Hope-Speech,😇❤️❤️❤️❤️😇 very  very very nice part 2 withing😍👌👌👌👌👌👌👌👌
None-of-the-above,Bro don't play others feeling broo
None-of-the-above,Really great job 👍
None-of-the-above,super bro speaking genuine
None-of-the-above,Talented girl but she is wrong motivated to youth
None-of-the-above,Nice speech and exp.. It's their freedom and interest it's not good to restrict them
None-of-the-above,Bro waiting for fun
None-of-the-above,"My opinion :; Judgement is useless,unwanted"
None-of-the-above,This is not prank emotion
Homophobic,I thing modi and amhrisha going to do hemosex marriage
None-of-the-above,she is actually like girl
None-of-the-above,Be make a video about Pilot and Pilot training
Hope-Speech,Very super anna
None-of-the-above,"Only by ur content i know that she was transgender, otherwise no can't find she was...and why the hell u post as she was...."
None-of-the-above,Bro please talk about rajinikanth....and his life
Hope-Speech,Visuvanathan swamynathan  thanks Viswanathan everything is in our hand we should be confident in what we are doing what ever u said I too faced everything in life but now a better person in society my kind advice never ever depend on others then nice chatting with you 😊
None-of-the-above,Not everyone is lgbt!!
Homophobic,"Though I don't support same sex marriages , I support transgender rights & naturalism (nudity included). There's a famous quote by a female non English European nudist- ; NUDISTS HAVE NO PROBLEM BEFRIENDING PEOPLE WHO ARE DRESSED BUT ITS NOT VICE VERSA. 😂. FYI, ANCIENT CIVILIZATIONS WERE WAY MORE MODERNISED THAN PRESENT UNIVERSE."
None-of-the-above,its not western culture🤣🤣🤣🤣
Counter-speech,"First of all thanks for sharing,; 3:52, bro gender fluid is different bisexual is different , bisexual- Sexual orientation; Gender fluid - Gender identity ; Sex ,sexuality and gender are  different.;  Good supportive video for minority community....Thanks for sharing ....kudos bro...."
Hope-Speech,"When she hugged him , I got tears in my eyes 🥺🥺"
None-of-the-above,just waiting for someday to come in my life like this!!; awesome acting by both of them!!!....good work mr.mani shankar...
Homophobic,Because of society?? Then the problem is with us because we are part of the society.
None-of-the-above,I think she acted in Nandhini serial. Ep 186
None-of-the-above,I need gay sex partners in cuddalore...interested persons plz msg me..
Hope-Speech,You are very bold.... But I am not like u(bold as you)....so my parents are not supportive.... Some of my friends discouraged me.... I want to be myself.... But I can't.... I don't know why....? Thank you for your video it's motivational and essential.... Thank you; I am proud to be(a gay) in LGBT community....; Thank you so much.....😊; Be happy Stay safe and Spread love.... Bye....😁
Hope-Speech,"Beautiful movie 😍✨❤ very close to real life incidents.  No nudity, no sex,  neatly shown. All the characters have done great job!! Especially mother's role, was heart touching. I loved it. An excellent message conveyed through this movie.There is an equal responsibility of both coming out guys and parents to   understand and accept the facts. Kids should convince parents in any way as parents deserve to know the real us. Also parents should understand and love the kids for however and whatever they are."
None-of-the-above,Good eye opener. Very crisp and clear delivery of thoughts. Keep going.👍👍❤️❤️
Hope-Speech,Best movie and people not understand relationship feeling I miss my life
None-of-the-above,I've been looking for this piece of art for a long time. Thank you
None-of-the-above,Don't spread fake facts.
None-of-the-above,"And I never told a woman like  Hey you will marry one man .If you want to have sex with so many men , I don't have any issues about that. What I m saying is , Just take my contact number also"
None-of-the-above,Seriously heart touching video ❤️
None-of-the-above,Sema mass first class outstanding explaination   like and love u super smile very nicenga
None-of-the-above,"Nice writing , anyways i love karthick kumar.... Ha ha just kidding awesome one."
None-of-the-above,Sister... Vere level🔥 Wishing you all success in life🙏🏻🎉
Counter-speech,Puruchutha puriyanum avlotha don't judge others good job bro sema.....
None-of-the-above,Great. Simply Excellent. It is very clear Director Mani has deep commitment and involvement in his projects. He is a brilliant diector and can make a great impact in film industry. The subject he has touched is bold and timely. Indira Iyer
Hope-Speech,We didn’t expect everything to change overnight.. but so heartening to see so many people accepting it; ; Vikatan thanks for it ..again proved you are above and  beyond all .. when it comes to Tamil magazine..; ; I am proud as I am 🏳️‍🌈. And proud Tamilian too..
None-of-the-above,"no love many times I am watching video Good friendship only understand guy life, but all are fake. Friend"
Homophobic,Think about one generation where no male wants to live with female and no female wants to live with male. It will be the end of the humans. Male to male should not be attracted for sexual desires. they can be friends. people think this as freedom but this is not. Don't consider transgender as lesbians or gays. They change their sex and then they are attracted to opposite sex. Don't think that whatever foreign countries do as correct. We were the people who were leading culturally. they should follow us not the reverse.
None-of-the-above,congratz bro for 90k subscribers cheers
None-of-the-above,Very nice tq so much for this video
Homophobic,Its not good 👆👎👎👎👎👎👎👎😏😑😣
Hope-Speech,Hey heart melting ya😥😥
None-of-the-above,Bro iam share 10members
None-of-the-above,good story. good acting. but really is it possible? lathif acting is really good. all the best
Counter-speech,"Sheik Dawood Where's the concept of a wife in a gay relationship?. And, it's totally suitable for all environments. Coz, it's human and natural. And, it's not a culture. It's a sexual orientation. No one becomes a gay, and no one can be forced to become gay. It's all inborn."
Counter-speech,Im cried😭😭😓.Respect All members❣️❣️❣️.hats off bro🙌🙌👏TMP❣️❣️love u bro .part 2 waiting bro🔥
None-of-the-above,Can you pls give the mic to homosexual ppl and ask how they feel ?? Will the camera turn tat side as well ???
None-of-the-above,Pubg player pola winner winner chicken dinner🤗🤥
None-of-the-above,"I am a openly gay Indian, this movie brought tears and joy to my heart, the empathy from the father is what we expect from our parents. Beautifully choregraphed film and the most important film I have seen in recent history of Indian Cinema. thanks a lot to the entire movie team."
None-of-the-above,Your look s cut
Homophobic,loh jen# its not a natural habit it is influenced by others.. mostly childrens are seduced by homosexuals
None-of-the-above,This girl lives in 2050
None-of-the-above,So what abt.it???🥴
Homophobic,Any btm sucker?
None-of-the-above,Hai bro.. Nice speech..... Congratlation for ur great thoughts..
None-of-the-above,I would never say this is prank .. this is a gud video of awareness.. kudos guys
None-of-the-above,Many of these words are in English. But the words use to scold woman demoralize them sexually. This comes because of the concept Karpu which men are not related to it.
None-of-the-above,my number
None-of-the-above,The comment section is filled with humanity than the video itself <3
None-of-the-above,Wat was tat
Hope-Speech,"Shrinivasan Kannan  societies what society we r the society so I accept that relationship ,,,,when you will change some time ,,,,,so society will accept lesbian gay bisexual transgender"
None-of-the-above,Bro Tell about mayan calender
None-of-the-above,Can't u just mention actress Katrina?! Are u mentioning Lady actress so and so while interviewing others? F**k the TRP.
None-of-the-above,Keerthana Jayavel very well done
Counter-speech,if you are blaming them...then first blame your jesus for creating such natural changes..
None-of-the-above,"I stumbled across this movie by chance. What a work it is!! Simply the best.. ; The story line, the actors and their acting all are in the perfect frame. Really made my day. Thanks for this classic work 😇😇😇😇"
None-of-the-above,May I know these cast's any other movie? I surely can watch it...
None-of-the-above,I am also like a latif.....; But my partner leave away from me
None-of-the-above,Makeup by Yesu  🙏🙏🙏💕💕💕🤗💐💐💐
Hope-Speech,It's realistic 🥰💯
None-of-the-above,Bro u name and phone number (or)mobile number please kotuinga
Hope-Speech,👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌.   IAM waiting part 2
Hope-Speech,If any couples in real life in this society?; Really it's amazing story and love; Hats off to lathif character
Hope-Speech,Anna Super 👍✨😂😂; TMP Anna's you consept super👍;  My heart feeling 😭😭😭 ; Thirunankai is real life human being 👍
Counter-speech,Awesome....😎 everyone should respect them...
None-of-the-above,Very nicy Love
None-of-the-above,I  love this movie
None-of-the-above,I respect those souls ...who fight for their life and not beggijg in train and other things !!!!
None-of-the-above,Blod speech.. Salute u sis..
None-of-the-above,I live latifs innocent face as me!!!
Homophobic,People's Need to know about LGBT sex .... I think its not wrong
Hope-Speech,Plz upload part 2 soon
None-of-the-above,Lathif acting good
None-of-the-above,Kaviya see u dnt need to understand ....You have ur world where u   have difffrent feelings which cant be understood by LGBT ...The same like u ...Just acccept it like everything is love
Counter-speech,She is a pure soul
None-of-the-above,Thanks for choosing this topic 🤝
None-of-the-above,Hats off. Ur so bold.
None-of-the-above,Naa Kanda theivam.........thiru......en Akka
Hope-Speech,It is nice n needed one 🙏and I wish you 🤝🤝all to Come up with many more useful content to this society bro.. 👏👏
None-of-the-above,Dhinesh Kumar Kandasamy  he told most . Not all ppl are LGBT .
None-of-the-above,Amen Glory to Lord Jesus Christ
Counter-speech,Please  guys.. Respect our feelings!!   ; Well speech  Malini.. I'm From Malaysia!!  Please do email me!!
Homophobic,This is why I hate chennai shit
None-of-the-above,This is not first time... Vada with saarithiran already did before. But this is awesome video 👍🤗❤
Hope-Speech,Respect for you akka
Hope-Speech,god bless you brother
None-of-the-above,Yes. we  think in citizen movie..not sure though..
Hope-Speech,I too love a guy and even he loves me....
Hope-Speech,U r very clean talker... Body for mud... Only heart will see god...
Hope-Speech,She is very caring type bro 💯
None-of-the-above,hmmmm love is the most powerful weapon that people used to do sins :); Dante:- worlds greatest sins has been committed in the name of love; ... one day love will be destroyed in the name of love itself...
Counter-speech,Really  😭😭😭😭😭😭😭😭
Counter-speech,I think people need to be educated well..... Even my mom supports homosexuality and their rights.... We are in no place to judge them...... I think people are being ridiculous by judging others.....
None-of-the-above,Please can anyone tell me which is that beach? It's really phenomenal
Hope-Speech,Bro vera level hats off
None-of-the-above,"Awesome story director sir, I just cried,  let all the parents understand this feeling"
None-of-the-above,I loved her soo much 😘😘😘😘
Hope-Speech,Respect for u akka... 🙏
Hope-Speech,Bro super acting
None-of-the-above,Really is she transgender?? She is so cute.. having beautiful smile ..
Hope-Speech,subscribed panniyachii. Bro.; ; ; ; Part. 2.  Waiting thalaivaaaa
Counter-speech,Don't use bad words on social media
None-of-the-above,She behaves and even smiles like a beautiful women😻😻and she is innocent too
None-of-the-above,Good to c charity food for needy pupils
None-of-the-above,Pisasu Lucifer attacked that persons
Counter-speech,Each and everyone in this world have their own freedom .. We don't have the rights to judge who they r . And 20 % of the ppl r only homosexual so I don't think this small percentage can be against the law of nature ...
Counter-speech,Really ill cry 😭; Awesome prank channel rise up to next level 😍🥰
None-of-the-above,They are bisexual people's they are not gays
None-of-the-above,Stop making these kind of nonsense
None-of-the-above,Bookmark this and read after a decade. You will understand the problem which it's gonna cause
None-of-the-above,SUPERSTAR VIJAY s she's
Counter-speech,"Don't wry Varun. Whatever happens, don't hide your character to anyone. LGBT it's not about sex, its about hormones. Just convince them at right time. Time will change everything. And we are different character only, not a shameful character. Right !!! We don't rape anyone, we don't cheat anyone, we don't do any crime. So, be proud and brave to show ur real. Lots of loves ❣️❣️❣️"
None-of-the-above,She is very good love u sister 😘
None-of-the-above,Super bro romba feel and waiting⏳
None-of-the-above,She looks like Nayanthara in her younger days
Counter-speech,"Shrinivasan Kannan  newsflash! No psychiatric association says it's a disease!! First learn science, then comment about asking me to go to recovery! productivity?? One among the greatest artist, anatomist, and physicist of all time is gay! name - Leonardo da Vinci! Do I have to tell more examples? Or ur point of productivity is just breeding?? And the previous law (377) was actually about sex between consensual adults in private. Did u know that? Did u know how many gay couples were blackmailed fr that??"
None-of-the-above,Very good. All the best
None-of-the-above,"Kudos to Malini for this very 'matter of fact' interview. Her voice reverberates courage. This interview addresses most of the cliched questions, LGBTIQ community is asked, hence everyone should watch it - please could you add sub-titles if you can. I adore you Malini for your courage! Well done Nakkeeran for taking a step towards asking the questions. I would appreciate, like Malini said, if you could direct your efforts towards highlighting the issues faced by the LGBTIQ community, hence be the positive change agent, as you always have been."
None-of-the-above,Shrinivasan Kannan  because a 8 yr old girl doesn't know the complexity of romantic relationship nor does she have the body to handle pregnancy or miscarriage and that's y sex under 18 yrs is illegal. clear??
None-of-the-above,I'm also a gay from srilanka jaffna...but its impossible to live in this society here...i don't know how my life is going to be..its a great theme..and i love it...best of luck my friends live a happy life...and pls pray for us
None-of-the-above,Such a beauty full supporting friends....every gay friends have like this friends ..life is beautiful
Hope-Speech,I was just loving this movie when i watched. Really an eye opener for all the parents and also to the society. Not sure how far will the impact be but any change requires a start. This is a wonderful start. Worth spending 55 minutes of my day. Really don't know if i can be as bold as Latif nor love a person like him.
None-of-the-above,Actually it's gud u r making them to feel as a part of society tq for that and also make sure that u should say to them that's it's a prank at last .; ; Becoz don't hurt anyone. nowadays ppl don't like those pranks at all they are been already cheated any they faces many problems that's y.........
Counter-speech,"7:42 and 9:00 look the way she tries to convince him not to die, I can't stop crying. Thats the true love of transgender. But please dont fool them for your views. Please give respect to them."
None-of-the-above,Even I'm a gay.. what I had faced in my life. As same as you... None  for me .. more than my parents.
None-of-the-above,Vera 11 acting ❤
None-of-the-above,What a observation👏👏👏
None-of-the-above,Transgender pathi soneenga but full details kedachatha enakku thonala!!!!!!!
None-of-the-above,Ya ya... She is correct 😄
Hope-Speech,Gautam bhai.. Your music is fabulous. Trust me you will make it big very soon. Can't wait to.see you making a feature film. Am really happy for you.. Keep rocking and in whole i loved watching this.
None-of-the-above,Why have to mention as TRANSGENDER?
None-of-the-above,lovely film really amazing love it ❤❤❤❤❤❤
None-of-the-above,Keep rocking dear love you
Counter-speech,"Last helping video super bro, 👍👍👍"
None-of-the-above,Thank you for watching this ☺️
None-of-the-above,Motivating bro 👍 awesome to see u.. my hearty wishes ❤️
None-of-the-above,such a priceless words from u malini #keepgoing❤🌈
None-of-the-above,I am crying ...
None-of-the-above,"This is the first time I've seen movie on gay relationship, superb 👍"
None-of-the-above,"Hey Saran kumar, First you Understand the difference between 'Comment' & 'Command'"
None-of-the-above,sky blue  u coming frome
None-of-the-above,Its the number representing satan or Lucifer. ..
None-of-the-above,V HeArtS I'm talking blindly? What i said wrong?
None-of-the-above,Love your speech
None-of-the-above,you know bro this is my 1st subscribe channel; I hope so you will continue this way to send a msg to people
None-of-the-above,"Hello kayal, I am very happy to see you for the long time. I think we met 16 years. We are studied in GRI"
None-of-the-above,"dileep d thanks bro. I am still waiting for shrinivasan to respond me, but I dont see him around. lol"
None-of-the-above,Full comedy 😉✌️
None-of-the-above,Where are you place bro
None-of-the-above,JAAIMANIVEL - Insta Id 🥰 Follow keep Support ❤;
None-of-the-above,Please don't compare that stupid with this gorgeous idiot  !!!😠😠
None-of-the-above,Semma acting bro 😂... Nice social concept too.... Doing good awareness to society.
None-of-the-above,Hat's off you mam
None-of-the-above,latif ur acting is awesome
None-of-the-above,Waited for a long time congrts team... such a emotional concept... amma and varun's acting fabulous.... this movie should get credited
None-of-the-above,Mani anna acting realy crying to me.
None-of-the-above,I'm waiting for part 2
Hope-Speech,Super bro Vera level performance all the best part 2 waiting bro
None-of-the-above,8.00 tears were real❤️
None-of-the-above,Waiting 🥳... #tmp
Counter-speech,"Railway police is always sleeping, RPF the worst police Dept. They should learn from our TN police how to control STRATAGIC things"
None-of-the-above,Yes . We have so many riddles to Solve...
None-of-the-above,Brave girl..she has a lot of sensiblity than those half baked so called culture safekeepers
None-of-the-above,Thank you for this video my point of view its human rights.
Counter-speech,Sooper sister .....who is anybody to bother about somebody's desire....Respect humanity.....it is none of anybody's business to peep into some one's bedroom ....
Counter-speech,This is not a prank .... It is an emotion...😍😅💓💓💓❤️
None-of-the-above,Very well said :) Congratulations for the effort. Good wishes !
None-of-the-above,yes it sad one
None-of-the-above,Nice story ; 😭😭😭😭
None-of-the-above,I support to you
None-of-the-above,Muhammad Azeem.S.H  yes you are right sir but i cant get the meaning of ur comment
None-of-the-above,I like this good
None-of-the-above,Any tops here?
None-of-the-above,Wright..........story me and my love.......manju  paramesh......4 years love
None-of-the-above,Really great bro🙏🙏🙏
None-of-the-above,very good picture
None-of-the-above,Hai ma be brave like this always .God gives you and   you people grate future definetly
None-of-the-above,Do not fight for wrong and do not justify the wrong thing
None-of-the-above,girubhakar couldn't agree more. even men are slaves bt slightly higher than women. But men dont realise it.
Counter-speech,"If you are born Gay or Bi'..This is not your fault neither your parents fault but this is how God made us n you are born in this way. If you love with a person with the same sex it doesn't mean that you're abnormal or you've a mental problem. Gay, bi or straight all are born normal because God made us all n God doesn't make a mistake. We are born perfect..n we are all born for a purpose..we are all born to be love n we are born to share our love to someone that our heart wants to be with..so no matter who you are maybe GAY, BI' or STRAIGHT.. love the person that your hearts decide but not other people choices.; ; Sorry, my english is not good but I hope all of you will understand my point."
Hope-Speech,Really super Anna 🌈 🏳🌈; Beautiful mgs and motivating speach. Stay happy and make others happy always 🤗✌💐🌈
None-of-the-above,anybody is in coimbatore below 24
None-of-the-above,Anna part 1 vera level part 2 waiting anna
None-of-the-above,Read bible bro
None-of-the-above,Thank you so much Vinoth🖤
None-of-the-above,Samme love is love 💕
None-of-the-above,Stefanie Suhashini This is much worse than male commenters who talk cheap and call them prostitutes and insult them. ; Women are not helping them at all. ; This needs to change.
None-of-the-above,Superb..good explaination ...she is correct
Counter-speech,Yes really great
None-of-the-above,It's a person's own choice. The thing that Indians care about is the baby. Why don't you guys look at adoption as a choice and most importantly it's their choice of having baby.
None-of-the-above,I will marry
None-of-the-above,No words to say
None-of-the-above,"wat a blady men,he u keep quite>>> ?? fuck the bitch"
None-of-the-above,Verrey nice beautiful
None-of-the-above,Wow sema super movie
Hope-Speech,Waiting for you bro
None-of-the-above,more then here y u like to ask this
None-of-the-above,Omg... Awesome movie... Very good and latiff role is very nice; ❤️❤️
Hope-Speech,omg they deserves a huge respect in our society😭
None-of-the-above,Bro am also your big fan please number
Hope-Speech,super movie with a powerful message.
None-of-the-above,I also gay ; Now my best friend also live me ; Now I don't have any friends
None-of-the-above,Cameraman drank the potion of invisibility 🤔🤫
None-of-the-above,Don't worry bro everything will be alright...; Just wait for that time...; And don't stop to convenc one day they will understand ...
None-of-the-above,Your Channel is really great  l Love you All ❤️❤️❤️❤️
Counter-speech,The real human being❤👏
Hope-Speech,Good film 💥
None-of-the-above,Yes he is from madurai 💯
None-of-the-above,I am writing
None-of-the-above,Talk about da vinci
None-of-the-above,Her style reminds me of Actor Thanush....soo knowledgeble
None-of-the-above,I'm waiting bro
None-of-the-above,INÂV  100% correct...
None-of-the-above,GOWTHAM XTRON thanks for the enlightenment dear scientist. Which 🧬 responsible for this?
Hope-Speech,Come out Bab.... I'm too gay... Be friends always ❤️💯
Homophobic,it's due to abnormalities present sexual dimorphic nuclei of hypothalamus
None-of-the-above,Otherwise boys will start daydreaming
None-of-the-above,God bless you
None-of-the-above,Opcourse yes she is..
None-of-the-above,Hope good happens to you; Study and earn well leave independent
None-of-the-above,Super anna 👍 red shirt
Hope-Speech,Super bro i am ajay 19 i am single yaravadhu true love person irutha life long gay love irutha comment pannuga
Hope-Speech,Such a nice  video hart taching
None-of-the-above,i a tamilans..but i dont understand athu..language..lol
Hope-Speech,"Hamelton Melvin  thank you.comming future,we will get financial freedom when we help to our people  from child abuse and pulling also. because this  activities are affect their mental health.so in my kindly request . please help to others."
Counter-speech,I'm crying this video is so touching; 😟😟😟😟
None-of-the-above,Please tell the details about the PUB
None-of-the-above,What is the name of the artist who acted as varun's mother? What an extraordinary acting❤️👌💯
None-of-the-above,"Thats genatic cormon problem, so don't hurt other transgender in society"
None-of-the-above,sathya raj semma movie naan every day crying
Hope-Speech,I love you sister your story so sad don't feel god help with u
None-of-the-above,This lady is so cute 😊 and i love her voice. Hope i will find a girl like her to date.
Counter-speech,Hi... bro ; From kerala ; First time uga video pakkuren supper... supper acting ; അടിപൊളി 👍👍👍; Waiting for part 2
None-of-the-above,I am gay. My boyfriend is locked in his home by his parents. I am sad now.
None-of-the-above,99% tamilans cant understand r accept it because they have no knowledge about it I feel petty for all homosexuality who are from tamil nadu its not a safe place for them.
Homophobic,priyadharshini kannan   Are you telling narrow minded ok understand.. Broad minded person will know and accept my point.. Love and attraction doesnt have any gender.. But with sex it will become more crazy bitch.. Go and see what the civilization and diesase occurs on same gender relatively with sex and health in human bodu🤣
None-of-the-above,aneesh cool   a law that is created just in span of 70 years is creating issues for man because its not changed in time. Just Imagine how painful thousand years old patriarchy would be for woman? try to understand. Change should come.
Hope-Speech,My first comment on social media such a beautifull film keep doing director like this more we want and tanx to u
None-of-the-above,What is stright?
Hope-Speech,she is really good heart
None-of-the-above,More beautiful than a girl
Homophobic,"The western countries choosed india to spread and legalized this section 377.. they achived their target. Next they will try with saround countries To implement this law as soon.This type law is completely against with nature.. We know the way of enviromental polution. Cutting trees, putting carbage in to rivers, burning garbage etc.. These are the things affacting the nature directly. When we act against nature,the nature will start to fight with us. The law related to LGBT is also like we are calling the nature for challange.. Sex with man and weman is nature. But sex with boy and boy or a girl with girl is completely against with nature. If we do and accept definately we will face facts like # HIV AND AIDS DESEASE# DECREASE IN POPULATION# MUTUAL DIVOURSE CASES# PROSTITUTIONS# NATURAL DISASTERS (SPECIFICALLY EARTH QUAKE ) study the history of german before and after implemented this law# CULTURAL IMPACTSand many..; It will not take longer time to get the bad feedback from this law..They are try to demolish the india this is obsolutely clear"
None-of-the-above,This is not good
None-of-the-above,Same after I seen ur message let her live her life if she’s different it’s her choice ok
Counter-speech,I hope this AKKA born as daughter in next rebirth❤. I need her as my son/daughter in next reincarnation ; ; ; ; ; I was crying after so long.  Cry of joy & has huge respect for them.
None-of-the-above,I have ordinary view before seeing your interview but now I am very clear that it is not due to abnormalities in body or in mind. Great go ahead....
None-of-the-above,bold speech MG
None-of-the-above,Vera level attitude ma😍😍...you teaches me.....# do what makes you happy...😇😇
None-of-the-above,She is so soft.  All the best sister
None-of-the-above,First time bottom pain pati soluga
None-of-the-above,+Thani Sathiyamoorthy is it so dude....why ? did you tell your wife about your feel
Counter-speech,Waiting for part 2 da.... please kindly keep some appreciation function for that transgender. It will be adding more value to their society. Please it my kind request. Any help please do collect donation atleast 10 rupees we all can share. Let her life be example for others.
None-of-the-above,She is cute..
None-of-the-above,So pretty she is........   she can do lead role
Counter-speech,"It is easier for girls to talk openly about this topic than guys. You will never get a true answer if you do public opinion in this topic.  Most Muslims, and Christians, Sangi type Hindus, less educated/exposed people, and egoist males won't accept. All they care about is progeny and population.It takes a lot of emotional intelligence(EQ) to  understand and care about human emotions, living a false life, false marriages, divorces, psychological issues, suicides and depression ."
Hope-Speech,I am happy with ur speech ... Pray for u always...
None-of-the-above,Vignesh Kannan  u have not addressed any of the concerns I raised in previous comment. U hav just repeated ur point with different words.
Counter-speech,After seeing video i can't stop crying 😭 semma conspect bro
Counter-speech,Behavior is very cheaper. Recently I travelled in local train. They asked money. I kept quite. For that too they crushed me. I did not even open my mouth. Which doesn't mean I don't know to talk but something stops me from arguing with them
None-of-the-above,sister so beautiful😍❤
Counter-speech,"Bro definitely millions  of views,  best wishes for u"
Hope-Speech,Thirunangai is very good
None-of-the-above,To diamond boys What iscthis one boy talks about homosexuality means you think he is gay why this sociaty is so cheap .  And one think you not ask to question me I will angry on you.I will tell you I am girl not a gay.
None-of-the-above,I am waiting for your second part
None-of-the-above,Preethi Prasad  I think this is to make awareness of them and make others to understand them
None-of-the-above,Yana Sola varega brother it's right or wrong
Hope-Speech,nice guys ... keep doing well ..god bless you everyone who behind this ......
None-of-the-above,your acting hats off 🙋🙋🙋🙋
Homophobic,next 10 years'la total world people Hiv patients .100% conform. (no children).
Counter-speech,"Endha mari social experience prank pannu gha bro ,we support you"
None-of-the-above,Everything is ok but its a possible in our society
None-of-the-above,weird தமிழன்  Tamils aren't Hindus but shaivaits . There is no word called Hinduism anywhere in Vedas or puranas
None-of-the-above,Hi brother...; I have a request ; Will you Pls put a video about the origin of fruits and vegetables in India...; Also Pls tell about the fruits and vegetables which came to use in India due to non-Indian invasion..; I would like to know our native fruits and vegetables....😊
None-of-the-above,Muthukumar P hi friend  semma movie
Hope-Speech,She has a great heart
Homophobic,Harmone problem consulting doctors is a big solution for these LGBT people.
Hope-Speech,Nice video brother super 🤙
None-of-the-above,Wat do u know about us
None-of-the-above,Waiting.... Your prank & csk match
None-of-the-above,Mohamed Sameer  well said bro.. there is no point in explaining these dumb people.. pity their ignorance
Hope-Speech,Good effort bro congratulations
None-of-the-above,"Why you need to advertise as transgender? Actress Katrina is sufficient to get to know someone, even Katrina is enough but yean ithe cheap marketing ?"
Hope-Speech,Be a gay ❤️🥰😍 proud to a gay 😍
None-of-the-above,Ur life ur choice.  Don't  to enter ur personal life.
Homophobic,What is the reason for changing the appearance like a man? What is the problem to look like women for lesbian.... even gays one change himself like femine.....what is the need to change... ?just be as it is...First answer this...
None-of-the-above,It has become true now
None-of-the-above,sowmya narayan  hey wat you want.. ? Wat u r coming to convey ?
None-of-the-above,Please spread the word dude
None-of-the-above,Yeah buddy they don't expect anything like other. Just need acceptance.
None-of-the-above,Wat d director tries to tell ?? 🙄🙄
None-of-the-above,Veral level hats of... Both of you
None-of-the-above,Nammalwar wrote many songs imagining himself as a wife of lord shriman narayana
None-of-the-above,Yeap. I realised
Hope-Speech,Waiting for part 2😅😅
None-of-the-above,Good attempt..superb movie..nice.. congrats.. expecting more short films from u guys..
None-of-the-above,Bro! Well Done :); It's really a good and decent explanation.; ; This is my Sim account < Gaming Profile>
None-of-the-above,"Archana Shree ,u that type?"
None-of-the-above,Very nice movie. I  apreciate to making this film to make the consideration of gay sex.. To the society....
Homophobic,Who am I to accept or regret things like this. But I have a opinion that is I never recommend Homosexuality to anyone
None-of-the-above,Superb story and good soul full movie
None-of-the-above,Ashwin Jack tnX boss
None-of-the-above,Very good story
None-of-the-above,It's against the law of nature
Homophobic,Arun Krishnan analysis my comment carefully i did not say gay culture is no needed in India but I say it does not suit in India.And moreover trust me there were many inhuman acts of sexual activities such as having countless of wives and numerous affairs are the result of what gay culture do to your society
None-of-the-above,"girubhakar T  When I say man as Sir,I also say mam when I talk to a elder person.See how women today are.Dont look into history bcoz no one knew what happened exactly.I see  ladies walking alone at 12 night in bangalore.Still when some women talk about women empowerment,thats when I get angry.I think in south,women were and are given respect.Bith men and women plays equal role in maintaining the family.Women take care of home, kids and men supported financially."
None-of-the-above,It's also not opposite to nature... Or modern thing...  historical proofs kooda irukku
None-of-the-above,U r right
None-of-the-above,Pls support the guy dont heat them i am guy
None-of-the-above,Ajit Kumar Kanthaswamy Sellaiyer Good bro
None-of-the-above,I will talk to u malini bro
Homophobic,Its a mental health sick only these ppl need to be treated.
Counter-speech,"The worst thing a person could go through is loneliness and being cornered. I think every person is different and special. They have their own beliefs, unless and until it doesn't harm anyone, i feel its ok! let them be the way they want, it's high time we start accepting all kind of people (i'm not just talking about homosexual). let me remind the society one thing the society is us everyone are part of society, the change should come within you first then the society will change."
None-of-the-above,Saranya  what do u think about my perception? people tries to find a life in butt hole :)
None-of-the-above,all the best
None-of-the-above,I love you for your character
Homophobic,Blue t shirt oru gay punda
None-of-the-above,"10:03 that moment when he said ENNAIYA porutha alavuku ,,,,, proved he is pakka Madurai....just a guess😉"
None-of-the-above,Say what ur feel
Homophobic,Homosexual are hypocrites....
None-of-the-above,Beautifully articulated. Kudos to you 😘
Homophobic,"it based on emotions by nature, but  man to man love possible upto some extent. They can share their love each other but they cant cross their limits."
None-of-the-above,Real woman face
None-of-the-above,V HeArtS u itself said it's causing problems. Atha nanu sonna it will increase
None-of-the-above,"These persons can be  educated ,trained for job such as security persons in the nursinghomes , women's PG  maternity hospitals malls  &fashion design  nurses primary school teachers. Their  association should work with the govt for  uplift."
Hope-Speech,"Really nice story and message to the society , LGBT, and parentsReally lathif character is amazing and well screenplay Keep it up and best wishes"
None-of-the-above,😂😂😂(1st Half)    Tmp   (2nd Half)   😖😖😖
Homophobic,"Bro according to science if a person over does a thing,he loses the pleasure in it.that is the reason y more ppl in west are homosexuals.many ppl in west lose thier virginity in a young age and they have sex out of thier marriage lock,and this is the reason y the lose pleasure in a normal relationship and they want to do something diffrent and the go with homosexuality"
None-of-the-above,History of Osama Bin Laden pls bro
None-of-the-above,"You have frankly said about your feelings! At same time you have to think about women feelings also to not to cheat!; Just for baby, or family status do not do kill your and women's feelings as well...!; Or else, You can frankly say with your wife too!; You have true, sweet heart! I accept and respect your true feelings! And Me too look for same partner with real homosexual feel and honest character!; My wishes! ❤️👬👬"
None-of-the-above,It's acceptable judgement bez human have their own rights to live
None-of-the-above,I am happy they passed this law
