,texts,five
901, இழம் ஆக் பட் மேல் டோ மேல்  பேமாலி டோ பேமாலி நூ வாழ்த புத்டூர் லா ஹுமன்ஸ் இறுகவே மடங்களை,0
902, நண்பன் பிரவின் உன்னதன் அடிகனிம்,0
903, பார்ட்2 போட் யூ கா நண்ப,0
904, ஹீஎனகும்நீங்கள்சோனாடு பொல்நாடண்டாடுடிருசுலாம் ஸ்டேஷன்பேக்சைட் லே,0
905, கன்னடியே போடு பா அது பொன்னு,0
906, அருமை நே சூப்பர்,0
907, அனிஷ் அனிஷ்  உனகு உண் பிரேச்சன்😊,0
908, சோம்யா நாராயண் அரி யூ பாய் ஓர் கிர்ல் ,0
909, நா இருபெண் அம்மா அப்பா வா👍👍👍👌👌👌👌👌,0
910, அமா உணமை சிஸ்டர் நை,0
911, கதயல்ல நிஜாம் எங்க இதுகெல்லாம் எண்ணா அவரென்ஸ் வேணும்  இன்னும் போகா போகா அனிமல்ஸ் குடா செக்ஸ் வசூபங்க  அதையும் அச்சிப்ட் பணுங்கா  செக்ஸ் நா மென் அண்ட் வோமன் மட்டும் பன்றது தா  சுமா இவங்கள ஒன்னு கிரீட் பண்ணிகிட்டு  100 ஏற் கூ முன்னடி இத்தெல்லாம் கிடையது  எபோ வந்துட்டு சூமா ஒலராமா பொங்க போரோ,1
912, பாவம் ரோம்பா நல்ல அக்காஐஸ் ரியல்லி பிராய்ட் ஆப் யூ,0
913, விணு விணுஜா அபி 997 நான் முடிவு இருகான தோரந்துணு இருகெனானு நை பதிய அந்த வெளக்கெண்ணய நல்ல உச்சம் தலைலா தேசிக்கோ பைதியம் தெளியட்டும்,1
914, சூப்பர் போரோ 👌 வீடியோ,0
915, அம்😍😍😍 ஹெர் அட்டிட்டுடே😘😘😘,0
916, பொசுலா லா ஒழு வங்கரதுகு நே இவ்லோ நேயம் பசாரா,0
917, அணித்த அணித்த காமா உணர்வா ஆதி தேவிடிய 😂😂வா ஓம்பு,0
918, கோப்பன் ஒரு ஒள்ளுஅவான் குட்டித்தான் ஆவான் அள்ளு,0
919, நை உன்ன மேரி ஆளுக இருந்த மனித இனமே அளிஞ்சிரும்,0
920, நனும் பது இருக அன்ன,0
921, ஜேசுஸ் ஒரு பாடு போடா பூண்ட,0
922,  இந்த லிங் ஆக் ஓபேன் பண்ணி பருண்க பிரண்ட்ஸ் இவுங்க யருணு👆,0
923, எப்படியோ நாசமா பொங்க,0
924, சூப்பர் ஜீ 👌👌👌,0
925, யூ லோக் மோர் பீட்டிபுல்😍 சிஸ்,0
926, பார்ட் 2 கூ வேட்டிங்,0
927, அப்புல்லா கான் தாங்ஸ்,0
928, இன்னும் கொஞ்ச நாள் போண எனகு பாய்ரியண்ட் இருகன் சொல்லி ரிஜெக்ஸ் பண்ணமா எனகு கிராப்ரியண்ட்ஸ் இருக சொல்லி ரிஜெக்ஸ் பண்ணுவல்க போல இதுக்கும் போலிஸ் பாதுகப்பு குடுத்துற்கின்க பேறு பிராமதம் அற்புதம் மாமா நூ சும்மாவா சொல்ரானுங்க,1
929, நாளிக்கு இவங்க கோலை பன்னுறதையும் சரினு பெசு வங்க,0
930, நரிய ஊம்பிருப்ப போல போட்டா தேவிடிய பைய உமலா வந்த அவளோத தூ 🗣️,0
931, பாரண்ட்ஸ் கூ பேத புள்ளைங்க மேலா நம்பிக்கை வராது நூ சொல்ரீங்க அல்சோ தப்ப பாக்குறது பப்ளிக் நா தப்பு பப்ளிக் கண்ணுள்ள இருக்கு,1
932, போரோ நெஜமாவே அந்த அக்கா சிங்கபென் தான் போரோ❤❤❤❤👍,0
933, அவங்க தெய்வம் டா 🙏🏼,0
934, லோவ் யூ டோ,0
935, ஹெய் மொடி போ,0
936, சூப்பர் அன்ன 💐💐💐,0
937, அவேசோம் ரெஸ்பெக்ஸ் டிரான்சிந்தர்,0
938, அந்த அக்கா ஓடா நல்ல மனசுக்கு 100 வருசம் வளனும்,0
939, வில் காம் எண் ரோம்பா கொலைகுற,0
940, டே நா ஒரு பொம்பல டாஉன்ன மாதிரி அம்பலா உடம்புள்ள இருந்து ஆபி மட்டமா சாகா மனிதன் பதி பேசா கேட்க,0
941, கோட் ஜோப் டீர்ஸ்👍💐,0
942, பிரின்ஸ் வேகேட்டா அது மட்டும் இல்லாமே நான் பாய் ஏ கல்யாணம் பென்றினோ ஓர் கிர்ல் ஏ கல்யாணம் பென்றினோஉங்களே மோ வேக்க சொல்லி யாரும் கோப்டலேஎண் கல்யாணம் செலவையும் உங்களே பாண்ணே சொல்லலேஅதனாலே ரோம்பை வோரி பண்ணிக்காதிங்கேன் மர்😏,1
943, ரோம்பா நல்ல இருக்கு எந்த வீடியோ,0
944, உண்ணெய்லம் சவுடிகனும் டீ,0
945, வேரி சூப்பர் மோவி கோட் கோட் கோட் கோட்,0
946, புல் காமெடி 😉✌️,0
947, எது தேன் எது விஷம் நீங்க பன்றது தப்பு நூ நங்கா சொல்றோம் எண்களுக்கு ஆண்ஆண் சேர்றது தான் சரி உங்களுக்கு எண்ணா வழிக்குத,1
948, மீட்பனலம் எப்போ எப்படி,0
949, பிராண்ஸ் கி கே வசன் நூ நெங்கா பாதிங்கள அவா ஆயிரம் பொய் புழுகுவளுங்க அன்ன நெங்கா ஸ்ட் யோசிங்க பப்ளிக் லா அந்த மருஷன் கே வசூருபர நூ அவரு வைப் வேற இற்கங்க இந்த நாய் ஆபி பேசுது அவர் வைப் இவ்லோ காஸ்டபடுவங்க எண் இவ எண்ணா உண்மைளை பதினிய வா எற்ப பெர்யா யோக்கியம் மாறி அவா பேசிற்புக இதுகி நெங்கா சூப்பர்ட்,1
950, நிங்கா எண்ணா வார்க் பண்ணுரிங்க,0
951, வாவா வாட் ஆய் பிலிம்,0
952, உன்ன கொள்ளல நா தான் பவம் நானே கொன்றுவன் ஓதா,1
953, இன் எரவது பிரசனை நிமித்தம் கூடம் கூடினல் எல்லாரும் நியாதுகு குரல் கொடுங்கள் மக்களே,0
954, ஜேசுஸ் பேபி ட் டிர்,0
955, முடிஜ நே போயு,0
956, வேற லேவில் போரோ காங்கிராட்டுலீஷன்ஸ் 🌹🌹🌹 லோவ் யூ சோ மூச்,0
957, சேமா அக்டிங் கியஸ்,0
958, எந்த லூசு எங்கேறுண்டு வண்டெசி,0
959, இத்தெல்லாம் ஒரு பொலப்பட,0
960, சேம் டோ யூ நண்ப,0
961, இத்தெல்லாம் நட்டுக்கே கேடு,0
962, ரியல்லி இப்பா திருநங்கைகள் மேலா மரியத்தை வருது 🙏🙏🙏🙏🙏🙏😔😔,0
963, போடா லூசு கூ ,0
964, அந்த கிரே டா சிர்ட் புல் ஹெண்ட் கூ மனசுலா பெரிய ஆண் அழகன் நூ நெனைப்பு  ஐஸ் சூப்பர்ட் லாப் டா,0
965, சாலுட்டா சிஸ்டர்  யூ ரூர் சோ லூவிலி பெர்சன்,0
966, வேற லவால் 👌🏻🔥,0
967, நண்ப வேட்டர் பாலோன் பிராங்க் பண்ணு நண்ப,0
968, 🤮 நிட் 8 மணிக்கு மேலா அந்த நாய்க அவ்தாளம் தெரியமா வீடியோ பொடுரிகசுமா தெரிக்க விடுவலுகபப்ளிக் லா,0
969, மகிங் கோட் அவர்ணஸ்,0
970, உங்களுக்கு ஏதவழு ஹெல்ப்,0
971, லோவ் யூ அன்னஸ் 😍😘🥰,0
972, டிஸ்லிக் பென்னா எப்டி மனசு வருது சே எண்ணகு வீடியோ பாது கண்ணு கலங்கிருச்சு,0
973, சூப்பர் சூப்பர் பாஸ்,0
974, ஸ் டுடே அப்புடி காம்பிளேட்டா பன்னிறுந்த சூப்பர் ஆக் இருகும்,0
975, சூப்பர் மித்ரா 7373496449 கிள் மே உங்க கிட்ட பேசனும் மித்ரா,0
976, அவேசோம் நா இவளோ நல் பிராங்க் ஆக் விதா இது சூப்பர் நா அவங்க பிலிங்ஸ் ஆக் புரெஞ்சு பணிறுகின்க சேமா நா,0
977, சூச் ஆய் லூவிலி மாம் 😍😍😍,0
978, நம்பா கவலைய கேட்டு வெளகி பூரங்க சொந்த கரங்க யரூன் தெரியாத ஒரு பையான கேட்டி அனட்சு ஆர்தல் சொன்னங்க பாருங்க சே சான்சே சே எல்ல சூப்பர் அக்கா 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏👏👏👏👏👏👏👏👏👏👏😭😭😭😭😭😭😭,0
979, ஓவர் சென் போ டா,0
980, ஸ்வீதா கீ எங்க விடுலய பிரீடம் நூ சொல்ரங்கஇல்ல உன்ன மேரி நடகுரங்களஇடு குடா தேடியமா சொல்ற பண்ணி நே தானே,0
981, நை தா டாக்ஸ் டா 🐕🐕🐕🐕,0
982, திருநங்கைக்கு ஜோப் இருந்த அவங்க யின் பிசா எடுக்க போரங்க அண்ட் மாட்டர் கூ போகா போரங்க பிரண்ட்ஸ் நம்மா சோசைட்டி திருநங்கை யா உச் பென்னா மட்டும் தான் பக்குது சூப்பர்ட் பண்ணல அவங்களும் நம்மலா மாத்ரி ஹுமன் பெங் தான் ஒரு சில்லா உண்மைய நா திருநங்கை உம் இருக்கன் கா இந்த வீடியோ லா அவங்க யின் திட்டுரங்க அந்த வீடியோ லா இருந்து போடம் அவங்க திட்டுறது மட்டும் பொடுரரு நல்ல து இல்ல,1
983, நை நிங்கா ஆபி பாய்டியன் ஜோன் பண்ணென்க,0
984, அந்த மனசு இருகே அதன் சீர் கடவுள்,0
985, திருநங்கை ரோம்பா நல்லவங்க இருக்கங்க,0
986, அத்லீட்டு பெஞ்சம்பர் ஆய் சாலுட்டா 😁 யூ அரி ஆய் சூப்பர் கூய்,0
987, ஜேசுஸ் பேபி ஹீ,0
988, பாலா டா ஈஸ் உண்ணோட அம்மா வா  உண்ணோட பதர் நியா திட்டுற டா பொறபோகு 😠,0
989, ஆப் நீர் சல்லாம்டா,0
990, ஹப்பி ஸ்பாரோ சராகு போட்டு காமண்ட் பென்ற போல கடைசி வேற நே உண் பார்ட்டர் ஓடா இரு மோதா ஆப்ரம் பெசு கலாசரா கண்ணி,0
991, நோ ஷே டோஸ்டா லோக் லிக் டிரான்சிந்தர்😍😚😘கேட் கிர்,0
992, பிரவின் குமார் அத உன்ன மற்றி ஆளுக அதிகாம ஆரிசு நா போப்புலேஷன் எங்க பெருகும் உங்க அப்பான் குடா பொய் செக்ஸ் வேகு கோடா டாவிட் பைய,0
993, ஒரினசர்க்கை மிகா பெரிய பவம் சோதோம் கோமரா பட்டானத்தை தீயினல் அழித்த பவம்வேண்டம் மனம் மருங்கள்,1
994, சூப்பர் ஸ்பீச் சிஸ்டர்,0
995, மலினி கிட்ட இதன கேள்வி கேட்டெண்களே ஓர் ஒரு கேள்விக்கு பதில் சொல்லுங்க எதரோசெக்சுவல் பாரண்ட்ஸ் ஏன் ஒமோசச்சுவால் பொறக்கனும்  குழந்த தேர்மனிக்குற்று நான் லிப்ட் ஆக் தான் போரகனுமு,1
996, அஷிக் கொஞ்சம் அட்டிட்டுடே மதிரி இருகு டிரான்சிந்தர் நாள இந்தேர்வி பணிங்கள,0
997, பிளேஸ் அன்ன பார்ட் 2 போஸ்ட் பணுக,0
998, அம்மா வாயும் பையானும் சது வசு இருக்கலம் ❤️❤️❤️👍👍👍,0
999, லோவ் யூ டோ நண்ப,0
1000, நோர்மல் மனிசன இருந்த போடா மேறு இண்டுடு போ இருபக்க பட் ஐஸ் அவள் மேரி சொழுக்க ரோம்பா இரகேக குணம் உள்ளவங்க,0
1001, கிராப்டி சேக் ஹஹா எப்படியும் ரசிகிரா ஒரு கோட்டம் இருக்கு மா,0
1002, இவங்கள விதா தெளிவ யாராலயும் கிளியர் எஞ்ப்லானேஷன் குடுக்க மிடியாது ஒருதன் இன்னொருத்தன அடிச்சு கொள்றன் இத விதா சேர் கேடு எண்ணா இருக்க பொகுது பண்டாஸ்டிக் அன்சர் இவங்கள தப்ப பேசுர அயோக்யா நாய்களே நிம்மதிய வாழ வேண்டிய வயசூலா வேட்டி கொள்ள பட்ராங்களே அது எண்ணா கலாசாரம் நல்ல இருக்க பண்டியன்கள டா பர்ஸ்ட் அடுத்தவங்கள நிம்மதிய வாழ விடுங்க டா அப்ராம் எல்ல மயிறையும் பதி பேசலம் இவங்க சோன்னா மாறி இந்த நாட்ள பெண்கள ரேப் பன்றவன் லா ஹெட்ரோ செச்சுவல் தான் நாட் ஒமோசச்சுவால் சிலா நாய்க பெண்கள் கிட்ட தவற நடந்துட்டு இங்க வந்து வியாகாணம் பெசுரானுங்க மதவங்களோட உணர்வுகளுக்கு மதிப்பு குடுங்க டன்டா பெய் ஜூட்ஜமெண்டல்,1
1003, இவ்லோ நாள் ஆக் இந்த சானல் ஆய் பகாமா போய்டன் யூ விஜ் நை வேற லேவில் 🔥🔥🔥🔥🔥🔥🔥🔥❤️,0
1004, எனகு உண்மைக்கும் அழுகா வாண்டு திருநங்கைகள் தெய்வங்கள் 😢😢😢,0
1005, இதுல பக்கும் பொது ஹிவ் ஆக் விதா மோசமான திசிஸ் லா வற்போதுணு தெரியுது,0
1006, சேம் ஐஸ் பெல்ட் மாடம்,0
1007, அந்த அளவு நேகா வீக் ஹு இருகின்கள,0
1008, வேணா எண் பூல் தாரென் உண் குடும்பதோட வந்து உம்பிட்டு போ,0
1009, அக்கா நேகா நல இருகானு லோவ் யூ,0
1010, வைஷ்ணவன் சந்தர் ஐப்,0
1011, வேற லேவில் மா நை,0
1012, அதுதவங்க உணர்வோட விளையாடுர நீங்க ஒரு போட்டை,0
1013, சருக் சமீர் கோட்,0
1014, டா அண்டா பார்ட் 2,0
1015, அக்கா எனகு திருநங்கேன ரோம்பா பிடிக்கும் எனகு திருநங்கை பிரெண்ட் இல்லினா ஒரு அக்கா அபிடி யாரும் கேடைகள பட் நீங்க மாஸ்,0
1016, அப்பே கமம் தான் ரோம்பை முக்கியமா காதல் கூ இடமே இல்லைய,0
1017, அக்கா சூப்பர் அக்காரோம்பா சந்தோசமாவும் பெருமையா இருக்கு அக்கா,0
1018, சூப்பர் அத சிஸ் சேமா,0
1019, அட மனம் கேட்டா குதிகள எல்லறும் சுமா இருகருக,0
1020, வேற லேவில் ❤️,0
1021, ஜே ஸ் எண் நிங்கா அப்படிய சப்துரிங்க,0
1022, இவள இவான் டா பேது போட்டான்,0
1023, போரோ பிச்சைகரன் பிராங்க் பண்ணுங்க ஒங்க சானல் லா பன்ன எல்லமே வேற லேவல் வீவ்ஸ் பொது கான்பிர்ம் ரோம்பா பாமம் ஆகலம்,0
1024, பெண்கள் மேது உள்ள பலியல் குற்றம் குறையும்,0
1025, திஸ் ஐஸ் நட்டூரல்  எது ஜென் லா வேற பிரப் குரோமோசோம் இம்பலான்ஸ் பொறப்புலைய வரதுகு அவங்க ஒன்னு பென்னா கேட்க கோலந்த காறு ஆகுற அப்போ எல்லருமே பேமாலி தா ஈஸ் குரோமோசோம் இருந்த டெஸ்டாஸ்டரூன் நுறா ஹோர்மோன் பேமாலி ஆக் மேல் ஆக் மாட்டுது அங்க நடகுற எதோ ஒரு முட்டேஷன் லா அந்த பேபி கூ இந்திராட்சியன் ஒப்போசிட் லா வராது இல்ல  சிலா பெறு கூ சிசி குரோமோசோம் இருகும் அவங்க பொன்ன இருந்தலும் பையான் மாதிரி பண்ணுவங்க சிக்ஸ் இருந்த பையான மாதிரி இருந்தலும் பொன்னு மாதிரில இருபங்க எதுல ஜென் லா நடகுற தப்பு  பீ பிர்த் லா நடக்குறது யாரையும் தப்பு சொல்ல கேட்க சிலா பேர் பீ பிர்த் லா ஒமோசஸ்குலியட்டி ஆக் இருபங்க அவங்கள மாத கேட்க சிலா பேர் சின்னா வயசூலா அபுஸ் பென்னா பட்டுருபங்க அதுநலா ஒமோசஸ்குலியட்டி ஆக் இருபங்க அவங்கள மாத கேட்ட,1
1026, திருநங்கை அரி கிரட்,0
1027, நா ஒரு தடவ டிரைன் லா போகம் பொது மிஸ் ஏட்டா அப்போ இவங்கள மதிரி ஒரு அக்கா தா எண்ணா பத்துகிடங்க எண் பாரண்ட்ஸ் டா அலசுட்டு பொய் விடங்க சோ அவங்களுக்கு நா எபோ தாங்ஸ் சொல்ற,1
1028, நான் கேகாரன் இவ வாய எண் பூல் விதா என,0
1029, போரோ சூப்பர் போரோ,0
1030, அந்த மனசு தா சீர் கடவுள்,0
1031, கதயல்ல நிஜாம் அமா போரோ இன் வீ2லா இனோடா மாதர் சிஸ்டர் லாம் இபி இருந்து நா பதது இல்ல அதன் சொல்லுறன்,0
1032, சேமா அக்கா அவன சாகா விதா கூடதுணுமு அவன எப்டியாவது,0
1033, நே நல்ல நக்குடி பொண்டைய அட்டிங்,0
1034, மூட்ரா தியோலி செருபு பிஞ்றும்,0
1035, வேற லேவில் 🙌🙌👍,0
1036, வளர்பு செரி இல்ல😂🤣🤣🤣🤣,0
1037, உங்களுக்கு எல்லம் எதுல பிராங்க் பண்டிரதுணு தரியாத இந்த மதிரி பன்றது அவங்கள அசிங்கப்படுதுற இருக்கு கோவமா வருது போரோ நீங்க பிராங்க் பன்றது,1
1038, உண்மை உண்மைநீங்க பேசுறது எல்லம் சரி பாநிச்சயம் எல்லம் மாறும்நீங்க நிகாச மாதரி உங்களுக்கு லைப் அண்ட் ரெஸ்பெக்ஸ் கிடைக்கும்கிடைக்கானும்,1
1039, போரோ நா எபோ குகை லா தான் இருக்கென் நீங்க எங்க இருகிங்க,0
1040, நண்ப நேகா வேற லேவில் லாஸ்ட் லா கிரட் ஜோப் உங்க யூட்டுபே சானல் இன்னும் வழலர வல்துகள்ஆல் தே பெஸ்ட்,0
1041, வீர 3 ஹஹஹ,0
1042, எப்பா சேமா எஸ்பரியின்ஸ்,0
1043, நை யூ 🔥🔥🔥🔥🔥🔥,0
1044, யூ எண்ணா மருசயன்ய நே செம்மய பேசுர நான் எருக்குமே அதிகமா லிக் போடா மேட்டின் சானல் உம் சூப்ரீபியா பென்னா மேட்டின் பட் 1ஸ்ட் டீம் அடிகிக்ஸ் உர் வேடியோ மான்😙,0
1045, லிட்டில் பிரின்சிஸ் 😭😭,0
1046, நல்ல பேச்சி நை,0
1047, போரோ நீங்க நல்லவர கேட்டவரஎனகு ஒரு டாப் இதே மாட்ரா உயிரங்கள் கே லெஸ்பியன் பண்ணுங்கள இது தப்பு இல நட்டூரல் ஆக் கோலந்த போறகுறது தன நல்லது,1
1048, எண்ணா ஆக் ப்பா வேற லேவில் அக்டிங் 💥💥💥💥,0
1049, ஐஸ் லிக் சங்கு வே 😆,0
1050, இன்பதுகு  வரிசுகு தான் தங்கசி,0
1051, சந்திகா ராசதி பட் சமுதாயத அலுசுடுமே,0
1052, இம்மா செட்டிங் தல,0
1053, எல்லாம் அவான் செயல்,0
1054, நே நாம் கே செக்ஸ் பன்னலம்,0
1055, சென்னை லா எப்டிதான் எறுபனுங்க வில்லக் பகம் வேற சொழுங்க ,0
1056, இவளுங்கள பெருமய படம்வேற எடுக்கரணுங்க,0
1057, கோட் பிளேஸ் யூ அக்கா லாங் லைப்,0
1058, பிகா ரேவிய் அத சோலா நை எருடா புழுதி பூடிகளான போசா மூடிட்டு போடா,0
1059, நெக்ஸ்ட் லேவில் 🎉🔥,0
1060, நீங்க பண்ணதுள்ள பெஸ்ட் போரோ கீப் எட் உப்,0
1061, செறுப்பழ அடிங்க இந்த நயிங்கள,0
1062, அன்ன உங்க போன் நோ தங்க,0
1063, உண்மையாவே அந்த மனசு தான் கடவுள்🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻,0
1064, எனகட பித் வேதமான ஜாங் இருகு,0
1065, அடிச்ச செவில் பிஞ்சிடனும்,0
1066, ஐஸ் லோவ் யூ லாப்,0
1067, ஐஸ்மே வேட்டிங் அன்ன,0
1068, பாலா குமார் நான் எண்ணா ரிப்ளி பணிறுகெணியே உங்களுக்கு புரியாலா தேன் ஹவ் அடுத்தவங்கோட உணர்ச்சி புரியம் ,0
1069, ராமா மனோகர் டிரான்சிந்தர் கூ கோடா பூல் இருகும் அதுகாக அவங்க ஆமபலாயாபூல் இருக்கவன் லாம் ஆம்பல இல்ல போரோ,0
1070, இது பிராங்க் இல்ல எண்ணைய ஆழுகவைக்கும் சோர்ட் பிளிம்😭😭😭😭😭😭😭😭,0
1071, லெஸ்பியன் மர் பண்ணிகா சிகாராம ரிக்ட்ஸ் வங்கி கொடுத்துக் பிள்ஜஸ்🙏,0
1072, ஒரு சிலா பேர் இபி தான் பன்றலுங்க,0
1073, கீர்த்தன ஜெய்வாவில் அச்சிலாந்தின் வார்ட்ஸ்👏👏👏👏,0
1074, இவங்க லா பத எண் பிரெண்ட் இன்ப சதிஸ்குமார் கூ லேடி கேட்டுப் போட்டா மரி இருகங்க,0
1075, சேமா ஸ்பீச்  கேது சேமா அட்டிட்டுடே சூப்பர்,0
1076, வோர்ட்ஸ் கோமேஸ் டோ எண்ட் சூன் இவள மதிரி கூதியேலம் முதல தமிழ் நட்டா விட்டு வெளிய தோரதுநான பொதும் உண் அம்மா வேற ஒருத்தி கோடா போய் இருந்த நை இருந்திருக்க மாதா,1
1077, சூப்பர் வீடியோ போரோ ரெஸ்பெக்ஸ் ஆல் கிர்ல் 🔥🔥🔥,0
1078, கேஸ் அண்ட் லெஸ்பியன்ஸ் இருந்த உங்க ஆல் மட்டும் இருந்த பொதும் இல்ல உண்ணாகு அம்மா அப்பா பாமிலி வேண்ணவ பா  உண்ணாக்கு பக்கத்துள்ள எதசி பிளாண்ட் அண்ட் அனிமல் இருந்த பரன் தேர் லைவ் போர் ஓதர்ஸ் 5 சென்சே இருக்க அதுவே மதவங்களுமு வல்லுற அப்போ நை 6 சென்சே இருக்க பெர்சன் நை மதவகளுக்காக வல வேண்ட பட் நை இபி கே இருக்க கரமண உண்ணோட பாமிலி காகா வலலமே அவங்க ஸ்டா பேடி குதா ஆபிஸ்,1
1079, செச்சுவல் ஒரியண்டியன் பதின அறிவு கொஞ்சம் குடா இல பச்சய காமண்ட் பான தா நே லா லாயக்கு உங்க கோடம் தா டா உலகத நசமகுருங்க,1
1080, ஐஸ் லோவ் யூ போரோ,0
1081, ஐஸ் அம் பீலிங் சோ சத்,0
1082, எண் மனசுலா உள்ளத ஆப்டியே சொல்லிடான் டா,0
1083, நிங்கா ஏன் இப்படி பேசரிங்கசொல்றது புரிது அண கொஞ்சம் நிங்கா பேசரது விதம் பிடிக்கல,1
1084, நை லா மனுஷா பிறவி யா சா,0
1085, சீட் இவங்கள மதிரி சிலா திருநங்கை அல்ல மாதா திருநங்கை கழுகு கேதா பெறு பிள்ஸ் எல்லரையும் திடத்திங்க நலவங்களும் இருகங்க,0
1086, ட் போரோ 😁,0
1087, ராஜேஷ் கன்னா ஹீயாம்மல்லிகர்ஜர்36ஒக்வ,0
1088, டப் ரோமான்ஸ் அண்ட் காமெடி மோவி ஸ்டேஷன் ஹாஅதுவும் தப்புநம்பா பேபி ஆக் இருகும் பொது நமலா பதுகிட்டங்களசோ நாமலும் பதுகனும் இன்ஸ்டியட் ஆப் தானிய போரதுக்கு பதுலா ஜாயின்ட் பாமிலி டிரி பணலம் ஓர் பக்கது பக்கத்துள்ள இருந்துக்ளம்லிக் நெய்ப்பர்ஸ்,0
1089, இருகுறதே 700 கோடி இவளுக்கு லட்சம் கோடியம்😵😂258,0
1090, ஸ்வீதா கீ அவங்க அவங்களுக்கு உரிமை இருகுகுறதிட்ட குடாது நூ சொல்றஎண்ணா தான் சொல்ல வேற லூசுடாக்டர் ஆய் பொய் பேறு,1
1091, யோகேஷ் பிறபு சூப்பர்,0
1092, வேற லேவில் நண்ப ❤️❤️ ஏற இருந்தலும் அவங்களுக்கு 1ஸ்ட் அன்ப குடுங்க ஏரையும் ஒதிக்கி வைகத்திங்க ❤️❤️❤️❤️🙏🙏🙏🙏🙏🙏🙏,0
1093, போசில் ராமன் இதுகு பேர் தா இஞ்னோரான்ஸ் மேலா ஒருதன் இருகன் நா எண் எப் படசன் நூ சொழு டா அவனுகு போவர் ஏ இளைய உண் கடவுள் ஆக் எப் ஹுமன்ஸ் ஆக் படைக்க வேணம் நூ சொழு போ இது இயற்கை இல செயற்கை நூ உனகு தெரிமா உண் நம்பிக்கை ஆக் உணோடா வேசுக,4
1094, கேட்டு குட்டி செவுற பொங்கட,0
1095, லோவ் யூ அக்கா💚💚💚,0
1096, எதிகு சூப்பர்ட் பன்றிங்க அப்போ உங்க அன்ன த்ம்பி குடா வலிங்க லா திங் பணிபரிங்க,0
1097, எங்க புள்ளைங்க எல்லம் பயங்கிரோ🤣🤣🤣,0
1098, நா உங்கிள் மீட் பண்ணும் மலினி பிள்ஸ்,0
1099, ரஞ்சனி ரஞ்சு உங்க அம்மா உன்ன ஒருதனுக்கு பேது இருந்த எப்படி பேச மட்டா யாதன சன்னி தான்னியோ யருகு தேறியும் டா தேவிடிய பைய உண் நம்பர் குடுடா பேதியா,1
1100, ஜே அன்ன சூப்பர்,0
1101, அப்டிலாம் இல்ல போரோ அது ஒரு பெல்லிங்,0
1102, நை கேட் சூச் மோவி 😍😍😍😍,0
1103, அந்த அக்கா கூ நல்ல மனசு 🙏🙏,0
1104, நே தான் நாட்டுக்கே கேடு,0
1105, கே நெல்லி தப்பானவங்கதன் நெனைக்க குடாது எல்ல கெண்டர் லாயம் தப்பு பன்றவங்க பன்னிட்டு தான் இருகங்க இந்த மதிரி வீடியஸ் நல இந்த கெண்டர் தப்ப புராஜிக்ஸ் பன்றிங்க ஐஸ் மே டிரான்ஸ்மன்,1
1106, அந்த அக்கவு கூ ரோம்பா நல்ல மனசு செல்லாம் செல்லாம் நூ நிரய தடவை சொல்லிடாங்கஐஸ் கோட் டீர்ஸ் இன் மை ஐஸ்,0
1107, சூப்பர் போரோ ❤️😘❤️,0
1108, நே அனுப்பு குட்டி நா கால் பனுரன் சால்,0
1109, வோவ்வவ் சோ பிரட்டியியை 😍😍😍,0
1110, உனகு இது கோரிக்ஸ் நூ சொல்ல உரிமை இருகுண நத்தூர் கூ அகைஞ்ஸ் ஆக் இருகு நூ சொல்ல எண்களுக்கு உரிமா இருகு,1
1111, நான் டர்ன் வேண்ணம் பிள்ஸ் மதுக என்ன இது ஏறு கிட்டாக,0
1112, ஒரு நாள் உங்க லைப் உங்களுக்கு புடிச்ச மாறி மாறும் 😣,0
1113, 😍வேற லேவில் ஜி 😎,0
1114, அபி அபினாய 😭😭😭,0
1115, உங்களமாரி திருநங்கை யலாத மோத தெருநங்கைகளு கேட்டா பெறு,0
1116, வின் பண்ணனும் நூ அவசியம் இல்ல  நீங்க ஹப்பி ஆக் இருகர்து தா முக்கியம்  யாருகும் நிறூபிகா வேணம்  ஜஸ்ட் பெய் ஹப்பி 😊😊😊,0
1117, மார்ட்டின் நாயகம் நாடர் நே சொல்றது கோரிக்ஸ் தான் 1ஸ்ட் உண் நாமே லா இருக்குற நாடர் ஞா ஜாதிய ஏடு 🔥🔥,0
1118, நாடு எங்க போவுது இவா கோடா என்றி வேற,0
1119, உங்க அளவுகு கெவலாமனவங்க கேடையதுன்னு ஒடுமோத சமுதையதையே குறசொல்லூற மனோபவம்சரி அல்ல,1
1120, தே போலிஸ் கூ இவள்ளோ பெரியா அர்க் லாம்இருகு டா அவங்கள எது கூ லாம் போ வேற வெசிட்டிங்களே டாவா,0
1121, கே பான்ஸ் லிக் ஹிம்,0
1122, வேரி நை டிரோ,0
1123, தல வாலி இப வோரையூர் லாயம்,0
1124, சூப்பர்ப் போரோ உங்க வீடியஸ் எல்லம் நல்லறுகு,0
1125, சூப்பர் டோ ஆல் டிரான்சிந்தர்,0
1126, சேம் டோ யூ 🙄,0
1127, அல வச்சிட்டியே நண்ப 😓😭😭😭💔,0
